City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-23.15,59,20,2.57,CA,2024-2-7
1,alesund,62.4723,6.1549,-2.59,79,100,5.14,NO,2024-2-7
2,vadso,70.0744,29.7487,-11.91,92,75,8.23,NO,2024-2-7
3,port-aux-francais,-49.35,70.2167,7.1,99,100,4.42,TF,2024-2-7
4,grytviken,-54.2811,-36.5092,8.65,56,24,2.07,GS,2024-2-7
5,port mathurin,-19.6833,63.4167,26.97,71,41,7.01,MU,2024-2-7
6,qaqortoq,60.7167,-46.0333,-13.51,66,6,4.65,GL,2024-2-7
7,juneau,58.3019,-134.4197,-0.88,97,75,0.0,US,2024-2-7
8,qarauyl,48.9451,79.255,-2.33,60,93,4.9,KZ,2024-2-7
9,olonkinbyen,70.9221,-8.7187,-3.01,91,93,9.19,SJ,2024-2-7
10,longyearbyen,78.2186,15.6401,-9.09,67,75,7.72,SJ,2024-2-7
11,edinburgh of the seven seas,-37.0676,-12.3116,16.64,63,77,1.39,SH,2024-2-7
12,ironwood,46.4547,-90.171,4.45,56,0,0.0,US,2024-2-7
13,kiuruvesi,63.65,26.6167,-24.07,100,100,1.47,FI,2024-2-7
14,adamstown,-25.066,-130.1015,24.72,88,95,6.9,PN,2024-2-7
15,waitangi,-43.9535,-176.5597,19.34,89,100,2.68,NZ,2024-2-7
16,tralee,52.2704,-9.7026,3.51,86,100,2.29,IE,2024-2-7
17,lorengau,-2.0226,147.2712,26.76,87,100,5.68,PG,2024-2-7
18,krasnoturansk,54.3186,91.5639,-14.31,92,50,1.34,RU,2024-2-7
19,puerto natales,-51.7236,-72.4875,10.27,82,88,4.5,CL,2024-2-7
20,okhotsk,59.3833,143.3,-18.58,80,100,3.43,RU,2024-2-7
21,thompson,55.7435,-97.8558,-17.91,71,100,2.57,CA,2024-2-7
22,avarua,-21.2078,-159.775,28.03,78,75,5.14,CK,2024-2-7
23,ilulissat,69.2167,-51.1,-5.99,53,100,10.8,GL,2024-2-7
24,rubiataba,-15.1644,-49.8033,20.58,93,95,1.02,BR,2024-2-7
25,castillos,-34.1667,-53.8333,19.02,85,11,3.53,UY,2024-2-7
26,norilsk,69.3535,88.2027,-12.54,82,100,2.5,RU,2024-2-7
27,san antonio de pale,-1.4014,5.6325,27.82,75,64,2.23,GQ,2024-2-7
28,dudinka,69.4058,86.1778,-12.43,87,100,2.2,RU,2024-2-7
29,kavaratti,10.5669,72.642,28.31,69,41,3.67,IN,2024-2-7
30,shahba,32.8551,36.629,5.88,81,38,2.48,SY,2024-2-7
31,lagunillas,10.1301,-71.2595,26.45,79,97,6.55,VE,2024-2-7
32,haiku-pauwela,20.9219,-156.3051,22.25,67,0,10.29,US,2024-2-7
33,jamestown,42.097,-79.2353,-1.2,86,0,0.0,US,2024-2-7
34,vorgashor,67.5833,63.95,-24.92,96,62,2.73,RU,2024-2-7
35,badger,64.8,-147.5333,-15.91,83,75,0.0,US,2024-2-7
36,bethel,41.3712,-73.414,0.02,73,0,0.0,US,2024-2-7
37,kingston,17.997,-76.7936,23.53,69,20,7.72,JM,2024-2-7
38,golfito,8.639,-83.166,23.16,94,18,1.34,CR,2024-2-7
39,labrador city,52.9463,-66.9114,-17.05,71,75,3.6,CA,2024-2-7
40,dunedin,-45.8742,170.5036,13.93,76,97,1.16,NZ,2024-2-7
41,port elizabeth,-33.918,25.5701,22.28,85,20,7.72,ZA,2024-2-7
42,klyuchi,52.2667,79.1667,-5.11,78,69,7.16,RU,2024-2-7
